Runtime WSselect WSpush WSpush_init Strict_Push Progname Size Blocksize Iterations Threads Gflops
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1234.040178
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1191.751382
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1255.506866
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1267.679217
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1259.888176
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1185.625004
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1145.255855
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1204.941434
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1217.002605
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1189.044251
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1145.888817
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1168.206738
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1235.520112
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1248.787183
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 256 1 192 1224.152054
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 696.212470
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 681.552482
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 730.385570
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 601.684709
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 685.799265
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 644.249859
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 631.324901
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 725.987734
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 714.534512
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 698.969331
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 726.257471
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 752.145957
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 731.343757
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 719.640656
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 16384 512 1 192 734.553495
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 480.895112
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 460.676097
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 499.211384
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 439.666227
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 507.770961
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 426.644341
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 420.629493
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 451.485431
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 487.175150
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 449.783742
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 487.920643
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 495.245724
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 460.765282
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 433.557483
komp numa Wnuma cyclicnuma loose dpotrf_taskdep 8192 224 1 192 440.786283
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 725.919192
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 766.339680
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 869.877609
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 710.813567
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 1002.121909
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 894.047725
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 927.836824
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 850.825957
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 766.051221
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 683.967316
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 759.613687
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 568.685868
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 762.012685
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 814.856165
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 256 1 192 847.505953
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1280.166478
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1306.968366
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1281.102506
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1349.452941
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1270.485326
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1283.689825
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1282.011246
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1306.093550
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1289.705048
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1344.460108
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1130.501375
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1304.204186
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1314.568317
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1133.592390
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 32768 512 1 192 1258.254823
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 586.019798
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 464.166832
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 481.219459
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 535.370991
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 482.664645
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 495.194681
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 462.385285
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 583.938395
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 442.444987
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 583.514198
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 460.564243
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 471.576538
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 505.962261
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 521.315849
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 256 1 192 568.411956
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 592.872348
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 560.960960
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 578.431384
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 607.773733
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 604.519627
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 513.113412
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 529.395125
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 559.453089
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 575.029014
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 536.192700
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 586.622737
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 561.589574
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 596.392337
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 542.196401
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 16384 512 1 192 584.966304
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 226.527435
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 205.535029
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 233.726347
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 258.843635
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 228.143410
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 278.829809
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 206.705152
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 290.327765
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 272.338779
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 225.942481
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 214.868543
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 217.100735
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 244.678844
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 282.497928
komp numa Wnuma cyclicnuma loose dgeqrf_taskdep 8192 224 1 192 238.911340
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1657.877957
komp hws_P Whws cyclicnuma loose dpotrf_taskdep 32768 512 1 192 1612.883448
